"trait","beta","a","d","aa","ad","dd"
"a",6.52,6.958003674,NA,3.405180235,NA,NA
"d",1.18,NA,1.136461246,NA,NA,NA
"a / d",NA,3.479124753,-8.528413297,4.260203889,NA,NA
"d / a",NA,-0.003787005,NA,-0.008332943,-0.005985591,0.012353573
"a * d",NA,13.8487282,55.73749668,NA,NA,NA
"a + d",NA,6.961701982,NA,NA,NA,NA
"a - d",NA,6.944888465,NA,4.374824708,NA,-5.061487565
"d - a",NA,-6.944888465,NA,-4.374824708,NA,5.061487565
"a",0.215,0.131022432,NA,NA,NA,NA
"d",1.91,-0.044016933,1.097316305,NA,NA,0.574556699
"a / d",NA,0.048992593,-0.172076484,0.06288725,NA,NA
"d / a",NA,-0.144890406,0.572687862,NA,NA,NA
"a * d",NA,NA,3.896722633,NA,1.148562769,NA
"a + d",NA,NA,1.756036433,NA,0.184200225,NA
"a - d",NA,0.206327798,NA,0.508851694,NA,-0.864427634
"d - a",NA,-0.206327798,NA,-0.508851694,NA,0.864427634
"a",18.6,17.98353498,NA,NA,NA,NA
"d",3.3,NA,2.357443722,NA,NA,NA
"a / d",NA,0.814934445,-0.27687805,NA,NA,NA
"d / a",NA,-0.183362406,NA,0.038014764,NA,0.06080416
"a * d",NA,399.6895426,95.65669224,NA,NA,NA
"a + d",NA,17.91352193,NA,NA,NA,NA
"a - d",NA,18.04592991,-2.665169971,NA,NA,NA
"d - a",NA,-18.04592991,2.665169971,NA,NA,NA
"a",2.61,2.472084313,NA,NA,0.912365635,NA
"d",8.93,NA,8.150810848,NA,NA,NA
"a / d",NA,0.083451567,-0.103370363,NA,0.031414526,0.024979578
"d / a",NA,-0.938315454,2.846263613,0.932125835,-1.069453614,-1.207041533
"a * d",NA,76.89307768,55.36717607,NA,NA,NA
"a + d",NA,2.772913421,8.058845681,NA,NA,NA
"a - d",NA,1.967097007,-8.298855165,NA,3.455301308,NA
"d - a",NA,-1.967097007,8.298855165,NA,-3.455301308,NA
"a",46.405,49.46417256,NA,NA,NA,NA
"d",7.8,NA,7.426907145,NA,NA,NA
"a / d",NA,4.290178837,-18.39807289,NA,NA,8.005946557
"d / a",NA,-0.009271232,0.033343774,NA,-0.007992241,NA
"a * d",NA,469.9071553,1138.355175,NA,395.0910944,NA
"a + d",NA,49.50110094,NA,NA,NA,NA
"a - d",NA,49.4711578,NA,NA,NA,NA
"d - a",NA,-49.4711578,NA,NA,NA,NA
"a",0.515,NA,NA,NA,NA,NA
"d",0.0140625,NA,NA,-0.003397951,NA,NA
"a / d",NA,NA,-50.66354099,NA,NA,NA
"d / a",NA,NA,0.000562812,NA,NA,NA
"a * d",NA,NA,NA,-0.05743324,NA,0.082822276
"a + d",NA,NA,NA,NA,NA,NA
"a - d",NA,NA,NA,NA,NA,NA
"d - a",NA,NA,NA,NA,NA,NA
"a",4.725,4.707914234,NA,NA,NA,NA
"d",2.449384286,NA,2.442565504,NA,NA,NA
"a / d",NA,-5.383764745,90.92166832,NA,38.93131992,-79.90782546
"d / a",NA,0.303506931,1.241963342,0.038628148,-0.713430537,-0.557965948
"a * d",NA,-4.160240513,14.96504216,NA,11.67636896,NA
"a + d",NA,4.696377767,2.279488921,NA,NA,NA
"a - d",NA,4.721458021,-2.547070085,NA,NA,NA
"d - a",NA,-4.721458021,2.547070085,NA,NA,NA
"a",34.13,33.82062064,NA,NA,NA,NA
"d",8.23,NA,6.790726448,NA,NA,NA
"a / d",NA,0.367602986,NA,NA,NA,NA
"d / a",NA,-0.194047479,NA,NA,NA,NA
"a * d",NA,3128.30015,1213.096887,NA,NA,NA
"a + d",NA,33.72597292,9.392999261,NA,NA,NA
"a - d",NA,34.19806318,NA,NA,NA,NA
"d - a",NA,-34.19806318,NA,NA,NA,NA
"a",3.45,3.742182699,NA,NA,NA,NA
"d",308.41,NA,319.0815319,NA,NA,NA
"a / d",NA,0.016332148,-0.140940164,NA,-0.021843017,0.060381586
"d / a",NA,-0.600737403,5.872948212,NA,NA,NA
"a * d",NA,1158.346836,16779.29868,NA,NA,NA
"a + d",NA,NA,321.0196592,NA,NA,NA
"a - d",NA,6.829737073,-314.7603568,NA,NA,NA
"d - a",NA,-6.829737073,314.7603568,NA,NA,NA
"a",6.1,6.152214584,NA,NA,NA,NA
"d",1.238,NA,1.055880602,NA,NA,NA
"a / d",NA,0.643551039,-0.087975179,NA,NA,NA
"d / a",NA,-1.497480146,-0.95541528,0.671720651,1.09588173,0.757185195
"a * d",NA,59.61895701,NA,NA,NA,10.90060912
"a + d",NA,6.075172253,NA,NA,NA,1.058912651
"a - d",NA,6.194149286,-1.387139446,NA,NA,NA
"d - a",NA,-6.194149286,1.387139446,NA,NA,NA
"a",119.675,117.1269766,NA,NA,NA,NA
"d",30.7,NA,30.79792338,NA,NA,NA
"a / d",NA,2.03231491,-2.744329352,NA,-1.122085218,0.630415993
"d / a",NA,-0.063638326,0.069525299,0.017191867,NA,NA
"a * d",NA,7040.537967,11216.84413,NA,2903.451107,NA
"a + d",NA,117.1438499,24.02303587,NA,NA,NA
"a - d",NA,117.1373033,-29.53123044,NA,NA,NA
"d - a",NA,-117.1373033,29.53123044,NA,NA,NA
"a",5.69,5.67950337,NA,NA,NA,NA
"d",144.68,NA,114.6713691,-10.16534925,NA,16.25979504
"a / d",NA,0.026908146,-0.206409008,NA,NA,0.069272306
"d / a",NA,-0.347442202,2.213183446,NA,NA,NA
"a * d",NA,1197.874851,NA,-2515.663629,NA,3875.52548
"a + d",NA,7.503171199,110.4380844,-13.10336169,NA,19.99762907
"a - d",NA,5.022392964,-133.0442827,NA,NA,NA
"d - a",NA,-5.022392964,133.0442827,NA,NA,NA
"a",1.8,1.5944707,NA,NA,NA,NA
"d",8.5,NA,8.465702986,NA,NA,NA
"a / d",NA,0.66271823,-6.937826749,NA,-0.930974232,3.764735468
"d / a",NA,-0.043818295,0.720840996,NA,-0.048709627,NA
"a * d",NA,4.540131224,95.74790322,NA,10.37767019,NA
"a + d",NA,1.577608749,8.13013379,NA,NA,NA
"a - d",NA,1.567779609,-8.783144965,NA,NA,NA
"d - a",NA,-1.567779609,8.783144965,NA,NA,NA
"a",10.31,10.64797575,NA,NA,NA,NA
"d",64.612,NA,65.76030973,NA,NA,NA
"a / d",NA,0.12640578,-0.302189081,NA,-0.048566884,0.113516012
"d / a",NA,-1.001784831,2.369730466,0.438139954,-0.643877324,NA
"a * d",NA,802.0026069,1896.191012,NA,817.0294412,NA
"a + d",NA,9.434709538,64.89298183,NA,NA,NA
"a - d",NA,12.01249427,-67.13684116,NA,NA,NA
"d - a",NA,-12.01249427,67.13684116,NA,NA,NA
"a",0.31,0.295436448,NA,NA,NA,NA
"d",25,NA,28.12809011,NA,NA,NA
"a / d",NA,0.002279036,-0.001219333,NA,NA,NA
"d / a",NA,-40.50764384,NA,NA,NA,NA
"a * d",NA,39.42862498,27.97695258,NA,NA,NA
"a + d",NA,NA,28.12752707,NA,NA,NA
"a - d",NA,NA,-28.12987506,NA,NA,NA
"d - a",NA,NA,28.12987506,NA,NA,NA
"a",47.665,50.15663013,NA,NA,NA,NA
"d",0.71,NA,0.700777144,NA,NA,NA
"a / d",NA,87.49330042,-206.5367408,NA,-68.52853182,88.4714436
"d / a",NA,-0.00253152,0.006272729,0.001184653,-0.001765519,NA
"a * d",NA,29.24047255,81.02440291,NA,34.72728747,NA
"a + d",NA,50.16626278,NA,NA,NA,NA
"a - d",NA,50.14339474,NA,NA,NA,NA
"d - a",NA,-50.14339474,NA,NA,NA,NA
"a",4.75,4.541557506,NA,NA,NA,NA
"d",17.8,NA,17.95276655,NA,NA,NA
"a / d",NA,0.09020205,-0.144103023,NA,NA,NA
"d / a",NA,-0.478352175,NA,NA,NA,0.648669067
"a * d",NA,221.2531047,330.6211,NA,NA,NA
"a + d",NA,5.171157334,17.46336302,NA,NA,NA
"a - d",NA,4.058851972,-13.92967983,NA,NA,NA
"d - a",NA,-4.058851972,13.92967983,NA,NA,NA
"a",17.85,18.52561424,NA,NA,-3.594650998,NA
"d",92.59,-2.345630833,78.59271692,NA,NA,11.37909438
"a / d",NA,0.256206287,-0.65293443,NA,-0.232228519,0.265810878
"d / a",NA,-0.605525559,1.50707944,0.268516828,NA,NA
"a * d",NA,1391.482218,4891.45097,NA,983.3651566,NA
"a + d",NA,15.57233334,68.12738833,-8.001391753,NA,18.56601919
"a - d",NA,20.31846944,-88.9598403,NA,NA,NA
"d - a",NA,-20.31846944,88.9598403,NA,NA,NA
"a",0.885,0.767610512,NA,NA,NA,NA
"d",0.226,NA,0.181207461,NA,NA,NA
"a / d",NA,0.52860614,-0.669756653,NA,NA,NA
"d / a",NA,-0.009902636,0.009683901,NA,NA,NA
"a * d",NA,1.146998734,6.178453312,1.874465521,NA,-3.423045694
"a + d",NA,0.766289031,NA,NA,NA,NA
"a - d",NA,0.769917129,NA,NA,NA,NA
"d - a",NA,-0.769917129,NA,NA,NA,NA
"a",29.369,28.06609985,NA,NA,NA,NA
"d",202.14,NA,202.9945022,NA,NA,NA
"a / d",NA,0.142960676,-1.288013863,NA,NA,0.564899582
"d / a",NA,-0.128287929,1.33726406,0.114623998,-0.271291531,NA
"a * d",NA,4800.55637,33780.03351,NA,2763.400313,NA
"a + d",NA,27.96738802,196.0031767,NA,NA,NA
"a - d",NA,28.71579068,-214.2825803,NA,NA,NA
"d - a",NA,-28.71579068,214.2825803,NA,NA,NA
"a",3.7,5.013278176,NA,NA,NA,NA
"d",0.038,NA,0.101605257,NA,NA,NA
"a / d",NA,2.870543127,NA,NA,NA,NA
"d / a",NA,-0.005451448,NA,NA,NA,NA
"a * d",NA,9.750330622,NA,-2.466110151,NA,NA
"a + d",NA,5.011176102,NA,NA,NA,NA
"a - d",NA,5.020275096,NA,NA,NA,NA
"d - a",NA,-5.020275096,NA,NA,NA,NA
"a",5,5.160926879,NA,NA,NA,NA
"d",48,NA,48.11302076,NA,NA,NA
"a / d",NA,0.167483615,-1.067802136,NA,-0.157895944,0.49139235
"d / a",NA,-0.192638948,1.566876692,NA,-0.238857029,NA
"a * d",NA,163.8605319,1445.577383,NA,224.5221756,NA
"a + d",NA,5.238398088,48.82364214,NA,NA,NA
"a - d",NA,4.960964424,-47.6340741,NA,NA,NA
"d - a",NA,-4.960964424,47.6340741,NA,NA,NA
"a",26.895,25.63911109,NA,NA,NA,NA
"d",23.8,NA,23.50620043,NA,NA,NA
"a / d",NA,1.071355629,-10.27926129,NA,NA,4.45720808
"d / a",NA,-0.015535821,0.133571343,NA,-0.014748097,NA
"a * d",NA,447.5022485,3938.548056,NA,735.3333481,NA
"a + d",NA,25.9248437,15.04579234,NA,NA,NA
"a - d",NA,25.51193544,-21.55741908,NA,NA,NA
"d - a",NA,-25.51193544,21.55741908,NA,NA,NA
"a",0.25,0.204944491,NA,NA,NA,NA
"d",0.77,NA,0.845599233,NA,NA,NA
"a / d",NA,0.060621043,-0.233728554,NA,NA,NA
"d / a",NA,-0.064652253,0.228828886,NA,NA,NA
"a * d",NA,0.690904098,2.940416106,NA,NA,NA
"a + d",NA,0.247505467,0.883467831,NA,NA,NA
"a - d",NA,0.192976243,-0.745803883,NA,NA,NA
"d - a",NA,-0.192976243,0.745803883,NA,NA,NA
"a",0.1475,0.146169071,NA,NA,NA,NA
"d",0.35,NA,0.351654868,NA,NA,NA
"a / d",NA,0.21369946,-0.751198473,NA,NA,0.235065292
"d / a",NA,-0.146862604,0.426867208,NA,NA,NA
"a * d",NA,0.101537702,0.211921379,NA,NA,NA
"a + d",NA,0.154020613,0.326658465,NA,NA,NA
"a - d",NA,0.140528075,-0.344567993,NA,NA,NA
"d - a",NA,-0.140528075,0.344567993,NA,NA,NA
"a",0.12,0.097433398,NA,NA,NA,NA
"d",71.03,NA,61.87561962,NA,NA,NA
"a / d",NA,0.000288678,-0.001110397,0.00071536,NA,NA
"d / a",NA,-5.198214882,25.32741371,NA,NA,NA
"a * d",NA,24.29448851,116.2182304,NA,NA,NA
"a + d",NA,NA,62.17473733,NA,NA,NA
"a - d",NA,NA,-61.57220524,NA,NA,NA
"d - a",NA,NA,61.57220524,NA,NA,NA
"a",1.65,1.671274911,NA,NA,NA,NA
"d",459.15,2.507722244,460.5200327,NA,NA,NA
"a / d",NA,0.008738658,-0.014792476,NA,-0.009557838,0.007807404
"d / a",NA,-363.7306921,NA,231.7854103,242.5351385,165.8902693
"a * d",NA,324.3346287,867.4998172,NA,738.0858213,NA
"a + d",NA,5.410991285,459.6407509,NA,NA,NA
"a - d",NA,NA,-461.3866045,NA,NA,NA
"d - a",NA,NA,461.3866045,NA,NA,NA
"a",1.15,1.912013506,NA,NA,NA,NA
"d",5.2,NA,4.984195202,NA,NA,NA
"a / d",NA,0.0629526,-0.596444764,NA,0.141778814,NA
"d / a",NA,-0.013966333,0.136425079,NA,-0.051559721,NA
"a * d",NA,NA,123.1478685,NA,NA,NA
"a + d",NA,1.455431972,NA,NA,NA,NA
"a - d",NA,1.581005837,-7.451246463,NA,2.56896728,NA
"d - a",NA,-1.581005837,7.451246463,NA,-2.56896728,NA
"a",20.4,20.15344755,NA,NA,NA,NA
"d",60,NA,61.88262714,NA,NA,NA
"a / d",NA,0.359629482,-1.390372564,NA,-0.389290353,0.592193124
"d / a",NA,-0.134454192,0.507007519,NA,NA,NA
"a * d",NA,1198.374517,7508.97497,NA,1246.919359,NA
"a + d",NA,18.5868229,64.72915332,NA,NA,NA
"a - d",NA,21.86277004,-60.71072874,NA,NA,NA
"d - a",NA,-21.86277004,60.71072874,NA,NA,NA
"a",5.25,5.207559155,NA,NA,NA,NA
"d",0.5665,NA,NA,NA,-1.487302005,NA
"a / d",NA,0.195950072,NA,NA,0.162964278,NA
"d / a",NA,-0.116416522,NA,NA,-0.07951953,NA
"a * d",NA,122.4547367,NA,NA,NA,NA
"a + d",NA,5.041555702,NA,NA,NA,NA
"a - d",NA,4.918814492,NA,NA,2.765962357,NA
"d - a",NA,-4.918814492,NA,NA,-2.765962357,NA
"a",32.60173,32.29037256,NA,NA,NA,NA
"d",153,NA,153.9863406,NA,NA,NA
"a / d",NA,0.850766017,-1.682451055,NA,-1.145027072,0.965895746
"d / a",NA,-3.858961713,4.884872827,3.33308229,NA,NA
"a * d",NA,1259.833771,5460.070339,NA,4745.95866,NA
"a + d",NA,32.81808521,155.8300273,NA,NA,NA
"a - d",NA,32.07404426,-153.2642518,NA,NA,NA
"d - a",NA,-32.07404426,153.2642518,NA,NA,NA
"a",0.8,1.046437728,NA,NA,NA,NA
"d",0.95,NA,NA,NA,NA,NA
"a / d",NA,0.111077406,-0.115303691,NA,NA,NA
"d / a",NA,-0.040817066,NA,NA,NA,NA
"a * d",NA,7.297329941,NA,NA,NA,NA
"a + d",NA,0.892155158,NA,NA,NA,NA
"a - d",NA,1.180133449,-0.679251334,NA,NA,NA
"d - a",NA,-1.180133449,0.679251334,NA,NA,NA
"a",0.4,0.377757657,NA,NA,NA,NA
"d",39.1,NA,48.36969752,NA,NA,NA
"a / d",NA,0.002024043,-0.00588466,NA,NA,NA
"d / a",NA,-1.280245303,4.496773906,NA,NA,NA
"a * d",NA,66.52737522,667.9695332,162.2530734,NA,-204.2660973
"a + d",NA,NA,49.36976264,NA,NA,NA
"a - d",NA,NA,-46.95157946,NA,NA,NA
"d - a",NA,NA,46.95157946,NA,NA,NA
"a",0.765,0.741646325,NA,NA,NA,NA
"d",1.9,NA,NA,NA,NA,NA
"a / d",NA,0.043891662,-0.033458344,NA,NA,NA
"d / a",NA,-0.273944505,0.191673691,NA,NA,NA
"a * d",NA,12.50975697,NA,NA,NA,NA
"a + d",NA,NA,NA,NA,NA,0.814689818
"a - d",NA,1.096207165,-1.367970196,NA,NA,NA
"d - a",NA,-1.096207165,1.367970196,NA,NA,NA
"a",0.79,0.821439554,NA,NA,NA,NA
"d",5.04496515,NA,5.047631557,NA,-0.14294117,NA
"a / d",NA,0.170757782,-0.251841536,NA,-0.117125178,0.102344237
"d / a",NA,-3.866899503,2.841321515,2.138231942,NA,NA
"a * d",NA,4.082383483,6.691548551,NA,3.359173184,NA
"a + d",NA,0.866879538,5.07974512,NA,-0.279464162,NA
"a - d",NA,0.819594808,-5.105650667,NA,NA,NA
"d - a",NA,-0.819594808,5.105650667,NA,NA,NA
"a",10.4,9.847395054,18.99786634,6.022510123,NA,-11.34757052
"d",29.84,NA,29.76116031,NA,NA,NA
"a / d",NA,0.54469161,-1.949130452,0.21908866,-0.432179131,0.833068381
"d / a",NA,-0.136755927,0.541755603,NA,-0.224883829,0.148498098
"a * d",NA,167.2810003,1459.490944,130.6504414,311.4976328,-167.2837288
"a + d",NA,9.95133731,45.57619837,4.979802263,NA,-8.572412272
"a - d",NA,9.841984051,NA,9.13058425,NA,-16.87891254
"d - a",NA,-9.841984051,NA,-9.13058425,NA,16.87891254
"a",5.826,5.535107196,NA,NA,NA,NA
"d",9.67,NA,NA,-9.14750935,NA,NA
"a / d",NA,0.068032743,NA,0.041228454,-0.034553726,NA
"d / a",NA,-0.313611857,NA,-0.111302748,NA,NA
"a * d",NA,481.8357793,NA,-267.4039384,NA,NA
"a + d",NA,3.754360276,NA,-7.454129395,NA,NA
"a - d",NA,7.177999391,NA,8.046518652,-6.186654093,NA
"d - a",NA,-7.177999391,NA,-8.046518652,6.186654093,NA
"a",9.583333335,9.479301048,NA,1.51898222,NA,NA
"d",540,NA,515.8136656,NA,NA,NA
"a / d",NA,0.011349205,-0.008596125,0.00253304,-0.004886968,NA
"d / a",NA,-20.82221194,NA,NA,NA,14.36736142
"a * d",NA,7822.706237,14167.57576,1982.995197,4595.931878,NA
"a + d",NA,NA,514.1669132,NA,NA,NA
"a - d",NA,NA,-517.6235788,NA,NA,NA
"d - a",NA,NA,517.6235788,NA,NA,NA
"a",0.29,0.257264234,NA,NA,NA,NA
"d",0.46,NA,0.497804754,NA,NA,NA
"a / d",NA,0.206525445,-0.29870469,NA,NA,NA
"d / a",NA,-0.213546938,0.334683112,0.062664959,-0.056514496,NA
"a * d",NA,0.293244271,0.722491562,NA,0.177739385,NA
"a + d",NA,0.243661181,0.537029955,NA,NA,NA
"a - d",NA,0.26926099,-0.44827074,NA,NA,NA
"d - a",NA,-0.26926099,0.44827074,NA,NA,NA
"a",4.95,4.946786741,NA,NA,NA,NA
"d",1.005714287,NA,1.292560728,0.26798097,NA,NA
"a / d",NA,1.529123495,-1.731949931,NA,NA,NA
"d / a",NA,-0.040227039,0.053145877,0.019198337,NA,NA
"a * d",NA,16.11299879,20.3001828,NA,NA,NA
"a + d",NA,4.991863186,NA,NA,NA,NA
"a - d",NA,4.919107359,-0.903741008,NA,NA,NA
"d - a",NA,-4.919107359,0.903741008,NA,NA,NA
"a",6.5855,6.199779416,NA,NA,NA,NA
"d",1.22,NA,0.935856871,NA,NA,NA
"a / d",NA,1.1585217,-2.334690742,NA,NA,NA
"d / a",NA,-0.006962736,0.013523233,NA,NA,NA
"a * d",NA,30.61607921,NA,NA,NA,80.69255675
"a + d",NA,6.067794631,NA,NA,NA,2.540647424
"a - d",NA,6.294307967,NA,1.226021716,NA,NA
"d - a",NA,-6.294307967,NA,-1.226021716,NA,NA
"a",22.75,22.05792033,NA,NA,NA,NA
"d",12,NA,11.50591123,NA,NA,NA
"a / d",NA,0.56198162,-0.310453324,NA,NA,NA
"d / a",NA,-0.350483081,0.19111514,0.16513761,NA,NA
"a * d",NA,829.8397411,670.5324517,NA,322.5650392,NA
"a + d",NA,22.23906811,12.70289841,NA,NA,NA
"a - d",NA,21.80570488,-8.182319735,NA,NA,NA
"d - a",NA,-21.80570488,8.182319735,NA,NA,NA
"a",23.1,22.72875039,NA,NA,NA,NA
"d",6.48,NA,5.792324761,NA,NA,NA
"a / d",NA,0.600699797,NA,0.116329151,NA,NA
"d / a",NA,-0.354307337,NA,NA,NA,NA
"a * d",NA,784.4383437,251.8836446,NA,426.2813281,NA
"a + d",NA,21.97165518,NA,NA,NA,NA
"a - d",NA,22.88451935,-4.906589836,NA,NA,NA
"d - a",NA,-22.88451935,4.906589836,NA,NA,NA
"a",0.2155,0.063055133,NA,NA,NA,NA
"d",97.7,NA,102.1974945,NA,NA,NA
"a / d",NA,NA,-0.012158329,NA,NA,0.004643537
"d / a",NA,NA,21.734978,NA,NA,NA
"a * d",NA,NA,470.5238777,NA,NA,NA
"a + d",NA,NA,102.1199793,NA,NA,NA
"a - d",NA,NA,-102.2844627,NA,NA,NA
"d - a",NA,NA,102.2844627,NA,NA,NA
"a",34.5,35.13472424,NA,NA,-3.973536356,NA
"d",1.64,0.033881872,1.646621884,NA,NA,NA
"a / d",NA,16.18543562,-20.42995147,NA,-10.41842467,7.166214493
"d / a",NA,-0.028328477,0.028615238,0.016953105,NA,NA
"a * d",NA,77.94080791,96.2687003,NA,46.11369979,NA
"a + d",NA,35.25312305,NA,NA,-4.212456647,NA
"a - d",NA,35.08247631,-2.129167834,NA,-3.949369408,NA
"d - a",NA,-35.08247631,2.129167834,NA,3.949369408,NA
"a",2.95,2.142087059,NA,NA,2.308546505,NA
"d",2.13,NA,1.857232921,NA,NA,NA
"a / d",NA,0.151771877,-0.187756292,NA,0.135993839,NA
"d / a",NA,-0.050516346,0.043189748,NA,-0.048226168,NA
"a * d",NA,35.98516572,NA,NA,NA,30.71527702
"a + d",NA,2.385967764,NA,NA,NA,1.267872721
"a - d",NA,2.292825351,-1.302922105,NA,2.306463576,NA
"d - a",NA,-2.292825351,1.302922105,NA,-2.306463576,NA
"a",35.08,32.13058836,59.15132806,NA,NA,-75.27526371
"d",3.4,NA,3.29445977,NA,0.241175695,NA
"a / d",NA,10.90279106,-207.9433035,NA,NA,84.80441257
"d / a",NA,-0.000331453,0.004684236,NA,NA,0.002098079
"a * d",NA,61.76237221,1937.645218,NA,286.0664224,-389.0180617
"a + d",NA,32.27824466,65.25427843,NA,NA,-77.3598405
"a - d",NA,31.97477153,52.72424944,NA,NA,-72.98065894
"d - a",NA,-31.97477153,-52.72424944,NA,NA,72.98065894
"a",0.74,NA,NA,NA,5.251641676,NA
"d",0.21,NA,0.165504832,NA,NA,NA
"a / d",NA,NA,NA,5.760144153,NA,NA
"d / a",NA,NA,NA,NA,NA,0.000822496
"a * d",NA,NA,16.91453364,NA,NA,NA
"a + d",NA,NA,NA,NA,5.226929887,NA
"a - d",NA,NA,NA,NA,5.275093485,NA
"d - a",NA,NA,NA,NA,-5.275093485,NA
"a",2.25,2.035708901,NA,NA,NA,NA
"d",5.94,1.146675723,6.376563651,NA,NA,NA
"a / d",NA,0.016462258,NA,NA,NA,NA
"d / a",NA,-0.061669799,NA,NA,NA,0.10976083
"a * d",NA,201.6766007,255.1728037,NA,NA,NA
"a + d",NA,3.06985155,7.321767019,NA,NA,NA
"a - d",NA,NA,-4.589697719,NA,NA,NA
"d - a",NA,NA,4.589697719,NA,NA,NA
"a",44,42.9733546,NA,NA,NA,NA
"d",2.7,NA,2.831535943,NA,NA,NA
"a / d",NA,6.9145773,-9.223009184,NA,NA,NA
"d / a",NA,-0.01281721,0.01475348,NA,-0.007601061,NA
"a * d",NA,250.1883127,392.311154,NA,NA,NA
"a + d",NA,42.91227666,NA,NA,NA,NA
"a - d",NA,43.02534513,NA,NA,NA,NA
"d - a",NA,-43.02534513,NA,NA,NA,NA
"a",0.085,0.102322658,NA,NA,NA,NA
"d",0.43,NA,0.463851278,0.101845565,NA,NA
"a / d",NA,0.023996767,-0.072835673,NA,NA,NA
"d / a",NA,-0.076807927,NA,NA,NA,NA
"a * d",NA,0.265741144,NA,NA,NA,0.372786622
"a + d",NA,0.123053989,0.234598374,NA,NA,0.211643991
"a - d",NA,NA,-0.282131534,NA,NA,NA
"d - a",NA,NA,0.282131534,NA,NA,NA
"a",3.7,2.769723748,NA,NA,2.321522881,NA
"d",3.3,-0.651099142,3.061299192,NA,1.498125004,NA
"a / d",NA,0.192859476,-0.734461532,NA,NA,0.364303215
"d / a",NA,-0.051482766,0.243628691,0.063827183,NA,-0.120961995
"a * d",NA,NA,98.241472,NA,196.8023903,NA
"a + d",NA,1.785129151,NA,NA,4.911051639,NA
"a - d",NA,3.7847775,-11.90073614,-2.576968549,NA,6.426310624
"d - a",NA,-3.7847775,11.90073614,2.576968549,NA,-6.426310624
"a",2.05,2.118807902,NA,NA,NA,NA
"d",3.69,NA,3.636661166,NA,NA,NA
"a / d",NA,0.290150575,-0.838822708,NA,NA,NA
"d / a",NA,-0.071501965,0.215725758,NA,NA,NA
"a * d",NA,16.00790145,57.62881129,NA,10.84339575,NA
"a + d",NA,2.151668511,3.363698112,NA,NA,NA
"a - d",NA,2.199548659,-3.47539398,NA,NA,NA
"d - a",NA,-2.199548659,3.47539398,NA,NA,NA
"a",495,479.5595577,NA,NA,NA,NA
"d",8.13,NA,8.591416203,NA,NA,NA
"a / d",NA,14.5733164,-6.708595761,NA,NA,NA
"d / a",NA,-0.009559376,NA,0.002034369,NA,NA
"a * d",NA,15641.54439,13244.94284,NA,NA,NA
"a + d",NA,479.3848093,NA,NA,NA,NA
"a - d",NA,479.6992832,NA,NA,NA,NA
"d - a",NA,-479.6992832,NA,NA,NA,NA
"a",7.225,7.513117342,NA,NA,-1.642073069,NA
"d",14.14,NA,8.638158371,NA,NA,NA
"a / d",NA,0.119048831,-0.028177273,NA,-0.040018601,NA
"d / a",NA,-1.544853226,NA,NA,NA,0.447323786
"a * d",NA,462.2647011,236.7843962,NA,NA,74.44358389
"a + d",NA,7.753986325,12.44531425,NA,NA,NA
"a - d",NA,6.779953282,NA,NA,NA,NA
"d - a",NA,-6.779953282,NA,NA,NA,NA
"a",1.35,1.32299456,0.059252749,NA,NA,NA
"d",11.17,NA,11.25019493,NA,NA,NA
"a / d",NA,0.059983291,-0.039790769,NA,-0.027910549,0.013829977
"d / a",NA,-14.62058733,NA,7.140534424,7.820554753,4.573813442
"a * d",NA,29.17416515,26.69205321,NA,18.65000631,NA
"a + d",NA,NA,11.06667514,NA,2.091341837,NA
"a - d",NA,1.783411409,-10.96222353,NA,NA,NA
"d - a",NA,-1.783411409,10.96222353,NA,NA,NA
"a",131.375,132.7485005,NA,NA,NA,NA
"d",17.3,NA,17.69664121,NA,NA,-0.454255068
"a / d",NA,24.34195719,-48.4872419,NA,-30.4477621,26.86591662
"d / a",NA,-0.127504179,NA,0.073042883,0.067700991,0.065344384
"a * d",NA,742.866517,2818.637397,NA,2210.419949,NA
"a + d",NA,132.465945,20.29854044,NA,NA,NA
"a - d",NA,132.2770645,-9.787246768,NA,NA,NA
"d - a",NA,-132.2770645,9.787246768,NA,NA,NA
"a",0.1005,0.094526289,NA,NA,NA,NA
"d",16.55,NA,16.24525611,NA,NA,NA
"a / d",NA,0.001485817,-0.009190512,0.005830587,NA,NA
"d / a",NA,NA,6.72537082,-2.750952113,-2.854674214,NA
"a * d",NA,4.313689677,26.98925513,NA,NA,NA
"a + d",NA,NA,16.47135606,NA,NA,NA
"a - d",NA,NA,-15.63658736,NA,NA,NA
"d - a",NA,NA,15.63658736,NA,NA,NA
"a",0.26,0.261606171,NA,NA,NA,NA
"d",54.101,NA,53.48755627,NA,NA,NA
"a / d",NA,0.018042948,-0.05884194,NA,-0.023392531,0.033102074
"d / a",NA,-27.18163066,131.2028351,21.20193551,-51.29206623,NA
"a * d",NA,3.795045887,25.6531338,NA,14.62024921,NA
"a + d",NA,NA,53.73745884,NA,NA,NA
"a - d",NA,NA,-53.81590949,NA,NA,NA
"d - a",NA,NA,53.81590949,NA,NA,NA
"a",0.104134169,0.099801627,NA,NA,NA,NA
"d",4.96,NA,3.374744994,NA,NA,NA
"a / d",NA,0.002233942,-0.000888824,NA,NA,NA
"d / a",NA,-58.50293685,36.30395533,23.82654677,NA,-14.93792832
"a * d",NA,4.400893589,NA,NA,NA,NA
